平台,商品名称,抓取数据日期,今日销量,近7天销量,近30天销量,平台库存,在途库存,sku,店铺
TEMU,早教手拍鼓，宝宝益智玩具拍拍鼓，室内室外男女孩玩耍打击乐器，圣诞礼物万圣节礼物春节派对互动有趣玩具,1776657643414,0,0.0,0.0,0,5,KNS666-1,102-Temu全托管
TEMU,Kids DIY Bouquet Making Machine Set Flower Arrangement Toys Handmade Colorful Craft Kit for Girls Gift Educational Fun Activity,1776657643414,0,3.0,3.0,57,0,HZ-1,102-Temu全托管
TEMU,蜘蛛手爪万圣节手指关节派对舞台演出道具装饰品蜘蛛鬼爪手套,1776657643414,2,2.0,10.0,14,0,GJSZ-H,102-Temu全托管
TEMU,Children'S Electric Cruise Ship Toy With Transparent Gear Rotation Colorful Sound And Light Baby'S Favorite Gift,1776657643414,0,0.0,0.0,5,0,YJ388-67,102-Temu全托管
TEMU,10PCS Kids Lock Key Toys Set Puzzle Locks Baby Educational Number Matching Homeschool Word Cognition Math Toys,1776657643414,0,0.0,4.0,0,0,KM-2,102-Temu全托管
TEMU,10PCS Kids Lock Key Toys Set Puzzle Locks Baby Educational Number Matching Homeschool Word Cognition Math Toys,1776657643414,0,7.0,45.0,17,0,KM-2-opp,102-Temu全托管
TEMU,Dinosaur Egg Toys Dinosaur Shape Sorting Matching Game Toy Figures In Dinosaur-Shaped Box Color And Shape Recognition Toy Girl,1776657643414,0,0.0,0.0,7,0,XQS2087A,102-Temu全托管
TEMU,Early Education Music Toys for Kids Children's Instruments Ukulele Elephant Long-Necked Deer Hippo Puzzle Play Toy,1776657643414,0,0.0,17.0,14,0,898-39-DS,103-Temu全托管
TEMU,Early Education Music Toys for Kids Children's Instruments Ukulele Elephant Long-Necked Deer Hippo Puzzle Play Toy,1776657643414,2,8.0,38.0,21,0,898-37-DS,103-Temu全托管
TEMU,Early Education Music Toys for Kids Children's Instruments Ukulele Elephant Long-Necked Deer Hippo Puzzle Play Toy,1776657643414,1,3.0,13.0,12,0,898-38-DS,103-Temu全托管
TEMU,科幻未来朋克风格一体式太阳镜装饰时尚潮流酷女孩网红cosplay派对礼服眼镜,1776657647394,0,0.0,0.0,4,0,pkyj-1,103-Temu全托管
TEMU,"28-piece DIY felt burger toy set, realistic food including burgers, sandwiches, and hot dogs, suitable for girls' playhouse parties.",1776657647394,0,0.0,0.0,3,0,5918,103-Temu全托管
TEMU,开锁游戏苹果配对数字字母钥匙精细动作儿童训练益智玩具，适合17个节日的礼物,1776657647394,3,21.0,39.0,8,15,KM-3-opp,103-Temu全托管
TEMU,开锁游戏苹果配对数字字母钥匙精细动作儿童训练益智玩具，适合17个节日的礼物,1776657647394,1,5.0,10.0,0,23,KM-3,103-Temu全托管
TEMU,Mini Convenience Store Cashier Pretend Play Kids Toy Children Simulation Supermarket Cash Register Play House Toys Christmas Gift,1776657647394,0,0.0,0.0,1,0,F332-1M,103-Temu全托管
TEMU,"Kids DIY Play Dough Tool Kit, Creative Slime & Squishy Plastic Set - 3D Clay Plasticine Mold Educational Puzzle Toys",1776657647394,0,0.0,0.0,5,0,XPNMJ-22,103-Temu全托管
TEMU,Ice Cream Folding Joy Playing Home Toy Hand Eye Coordination Parent Child Interactive Desktop Game Puzzle Toy,1776657647394,0,1.0,1.0,0,0,zcbql-ch,103-Temu全托管
TEMU,随机颜色游泳娃娃儿童防水发条娃娃关节运动儿童浴室玩具4个季节可用发条玩具,1776657647394,0,297.0,741.0,0,1,youshui-mn-opp-PM,103-Temu全托管
