2026-03-03 12:26:13,758 | INFO | financial_data | 2101-Temu全托管KA - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'akgomnfmbbjjcajjhhilppefdmokndpj', 'browserID': 104355104, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '49160', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2101号店（111店改）', 'duplicate': 2907, 'ip': '124.236.76.149', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104355104, 'containerCode': '1051551049', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:26:13,758 | INFO | financial_data | 2101-Temu全托管KA - 浏览器启动成功, 调试端口: 49160
2026-03-03 12:26:15,107 | INFO | financial_data | 2101-Temu全托管KA - 已连接浏览器
2026-03-03 12:26:16,897 | INFO | financial_data | --------------------2101-Temu全托管KA ------------------------ 开始登录...
2026-03-03 12:26:23,140 | INFO | financial_data | 2101-Temu全托管KA - 等待 agentseller Cookie 生效
2026-03-03 12:26:32,882 | INFO | financial_data | 2101-Temu全托管KA - 进入财务页面
2026-03-03 12:26:42,208 | INFO | financial_data | 有数据，总共 2276 条
2026-03-03 12:26:44,277 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-03-03 12:26:45,117 | INFO | financial_data | 2101-Temu全托管KA - 准备下载: 下载账务明细(卖家中心)
2026-03-03 12:26:55,121 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\temu\2101-Temu全托管KA_02_卖家中心.xlsx
2026-03-03 12:26:56,124 | INFO | financial_data | 2101-Temu全托管KA - 准备下载: 下载财务明细(全球)
2026-03-03 12:26:58,456 | INFO | financial_data | 确认授权并前往
2026-03-03 12:27:23,079 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2101-Temu全托管KA_02_全球.xlsx
2026-03-03 12:27:24,121 | INFO | financial_data | 2101-Temu全托管KA - 准备下载: 下载财务明细(欧区)
2026-03-03 12:27:26,289 | INFO | financial_data | 确认授权并前往
2026-03-03 12:28:07,580 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2101-Temu全托管KA_02_欧区.xlsx
2026-03-03 12:28:08,606 | INFO | financial_data | 2101-Temu全托管KA - 准备下载: 下载财务明细(美国)
2026-03-03 12:28:11,142 | INFO | financial_data | 确认授权并前往
2026-03-03 12:28:21,477 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2101-Temu全托管KA_02_美国.xlsx
2026-03-03 12:28:22,500 | INFO | financial_data | ✅ 2101-Temu全托管KA - 所有财务数据下载完成
2026-03-03 12:28:22,501 | INFO | financial_data | 全部报表下载完成
2026-03-03 12:28:22,502 | INFO | financial_data | 2101-Temu全托管KA - 登录成功（第 1 次）
2026-03-03 12:28:23,717 | INFO | financial_data | --------------正在爬取店铺112-Temu全托管----的数据
2026-03-03 12:28:23,718 | INFO | financial_data | 112-Temu全托管 - 第 1 次登录尝试
2026-03-03 12:28:26,812 | INFO | financial_data | 112-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'deogjmiglmamcbonclpnbppbclfgkgpg', 'browserID': 99848624, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '49760', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托112店', 'duplicate': 2693, 'ip': '36.111.32.150', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99848624, 'containerCode': '1006486242', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:28:26,812 | INFO | financial_data | 112-Temu全托管 - 浏览器启动成功, 调试端口: 49760
2026-03-03 12:28:28,157 | INFO | financial_data | 112-Temu全托管 - 已连接浏览器
2026-03-03 12:28:29,422 | INFO | financial_data | --------------------112-Temu全托管 ------------------------ 开始登录...
2026-03-03 12:28:34,509 | INFO | financial_data | 112-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 12:28:43,640 | INFO | financial_data | 112-Temu全托管 - 进入财务页面
2026-03-03 12:28:52,344 | INFO | financial_data | 有数据，总共 332 条
2026-03-03 12:28:54,402 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-03-03 12:28:55,241 | INFO | financial_data | 112-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-03-03 12:29:05,151 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\temu\112-Temu全托管_02_卖家中心.xlsx
2026-03-03 12:29:06,154 | INFO | financial_data | 112-Temu全托管 - 准备下载: 下载财务明细(全球)
2026-03-03 12:29:08,386 | INFO | financial_data | 确认授权并前往
2026-03-03 12:29:22,145 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\112-Temu全托管_02_全球.xlsx
2026-03-03 12:29:23,192 | INFO | financial_data | 112-Temu全托管 - 准备下载: 下载财务明细(欧区)
2026-03-03 12:29:25,291 | INFO | financial_data | 确认授权并前往
2026-03-03 12:29:40,032 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\112-Temu全托管_02_欧区.xlsx
2026-03-03 12:29:41,070 | INFO | financial_data | 112-Temu全托管 - 准备下载: 下载财务明细(美国)
2026-03-03 12:29:43,154 | INFO | financial_data | 确认授权并前往
2026-03-03 12:29:52,052 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\112-Temu全托管_02_美国.xlsx
2026-03-03 12:29:53,071 | INFO | financial_data | ✅ 112-Temu全托管 - 所有财务数据下载完成
2026-03-03 12:29:53,072 | INFO | financial_data | 全部报表下载完成
2026-03-03 12:29:53,072 | INFO | financial_data | 112-Temu全托管 - 登录成功（第 1 次）
2026-03-03 12:29:54,379 | INFO | financial_data | --------------正在爬取店铺1108-Temu全托管----的数据
2026-03-03 12:29:54,379 | INFO | financial_data | 1108-Temu全托管 - 第 1 次登录尝试
2026-03-03 12:29:58,466 | INFO | financial_data | 1108-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'oielegjolaoigkjpcikbcbepjdojkkja', 'browserID': 122453019, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\hubstudio', 'debuggingPort': '50175', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1108号店', 'duplicate': 3644, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\webdriver.exe', 'containerId': 122453019, 'containerCode': '1232530196', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:29:58,466 | INFO | financial_data | 1108-Temu全托管 - 浏览器启动成功, 调试端口: 50175
2026-03-03 12:29:59,871 | INFO | financial_data | 1108-Temu全托管 - 已连接浏览器
2026-03-03 12:30:01,004 | INFO | financial_data | --------------------1108-Temu全托管 ------------------------ 开始登录...
2026-03-03 12:30:05,160 | INFO | financial_data | 1108-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 12:30:13,417 | INFO | financial_data | 1108-Temu全托管 - 进入财务页面
