2026-01-21 09:36:06,983 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:06,983 | INFO | YmxNews | 线程 YmxThread_4 西班牙第3页获取到100条数据，累计300条
2026-01-21 09:36:06,983 | INFO | YmxNews | 线程 YmxThread_4 西班牙第3页获取到100条数据，累计300条
2026-01-21 09:36:06,983 | INFO | YmxNews | 线程 YmxThread_4 西班牙第3页获取到100条数据，累计300条
2026-01-21 09:36:07,527 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第4页的数据
2026-01-21 09:36:07,527 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第4页的数据
2026-01-21 09:36:07,527 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第4页的数据
2026-01-21 09:36:07,884 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第4页的数据
2026-01-21 09:36:07,884 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第4页的数据
2026-01-21 09:36:07,884 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第4页的数据
2026-01-21 09:36:07,899 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第4页的数据
2026-01-21 09:36:07,899 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第4页的数据
2026-01-21 09:36:07,899 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第4页的数据
2026-01-21 09:36:07,992 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第4页的数据
2026-01-21 09:36:07,992 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第4页的数据
2026-01-21 09:36:07,992 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第4页的数据
2026-01-21 09:36:08,135 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:08,135 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:08,135 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:08,135 | INFO | YmxNews | 线程 YmxThread_1 英国第4页获取到100条数据，累计400条
