2026-01-16 12:03:59,763 | INFO | login | 112-Temu全托管 - 浏览器启动成功, 调试端口: 51810
2026-01-16 12:04:01,179 | INFO | login | 112-Temu全托管 - 已连接浏览器
2026-01-16 12:04:01,537 | INFO | login | --------------------112-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:04:06,137 | INFO | login | 112-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:04:12,140 | INFO | login | 112-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\112-Temu全托管_cookies.json
2026-01-16 12:04:12,140 | INFO | login | 112-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:04:12,140 | INFO | login | 112-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:04:24,240 | INFO | login | 151-Temu全托管家居 - 第 1 次登录尝试
2026-01-16 12:04:27,273 | INFO | login | 151-Temu全托管家居 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'hedghpmenpbaonnhkmgocnfmfknncjij', 'browserID': 100115336, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '52148', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托151店', 'duplicate': 2611, 'ip': '124.236.76.149', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 100115336, 'containerCode': '1009153364', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:04:27,273 | INFO | login | 151-Temu全托管家居 - 浏览器启动成功, 调试端口: 52148
2026-01-16 12:04:28,733 | INFO | login | 151-Temu全托管家居 - 已连接浏览器
2026-01-16 12:04:29,276 | INFO | login | --------------------151-Temu全托管家居 ------------------------ 开始登录...
2026-01-16 12:04:34,486 | INFO | login | 151-Temu全托管家居 - 等待 agentseller Cookie 生效
2026-01-16 12:04:44,721 | INFO | login | 命中授权方式一：确认授权并前往
2026-01-16 12:04:44,760 | INFO | login | 授权流程完成
2026-01-16 12:04:50,802 | INFO | login | 151-Temu全托管家居 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\151-Temu全托管家居_cookies.json
2026-01-16 12:04:50,803 | INFO | login | 151-Temu全托管家居 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:04:50,803 | INFO | login | 151-Temu全托管家居 - 登录成功（第 1 次）
2026-01-16 12:04:56,345 | INFO | login | 1104-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:04:59,376 | INFO | login | 1104-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ifmneobocilkpmpjmkahbfnpccjajnbm', 'browserID': 100261239, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '52577', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1104店', 'duplicate': 2685, 'ip': '125.122.156.184', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 100261239, 'containerCode': '1010612394', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:04:59,376 | INFO | login | 1104-Temu全托管 - 浏览器启动成功, 调试端口: 52577
2026-01-16 12:05:00,763 | INFO | login | 1104-Temu全托管 - 已连接浏览器
2026-01-16 12:05:01,138 | INFO | login | --------------------1104-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:05:05,506 | INFO | login | 1104-Temu全托管 - 等待 agentseller Cookie 生效
