2026-03-03 13:58:20,030 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:20,031 | INFO | financial_process_up | 正在上传店铺: 1107-Temu全托管_总表.xlsx, 共 43 条记录...
2026-03-03 13:58:21,543 | INFO | financial_process_up | 1107-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:21,557 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:21,557 | INFO | financial_process_up | 正在上传店铺: 1108-Temu全托管_总表.xlsx, 共 40 条记录...
2026-03-03 13:58:22,804 | INFO | financial_process_up | 1108-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:22,818 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:22,818 | INFO | financial_process_up | 正在上传店铺: 112-Temu全托管_总表.xlsx, 共 38 条记录...
2026-03-03 13:58:24,540 | INFO | financial_process_up | 112-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:24,563 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:24,563 | INFO | financial_process_up | 正在上传店铺: 2101-Temu全托管KA_总表.xlsx, 共 34 条记录...
2026-03-03 13:58:25,779 | INFO | financial_process_up | 2101-Temu全托管KA_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:25,789 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:25,789 | INFO | financial_process_up | 正在上传店铺: 2102-Temu全托管_总表.xlsx, 共 18 条记录...
2026-03-03 13:58:27,086 | INFO | financial_process_up | 2102-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:27,096 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:27,097 | INFO | financial_process_up | 正在上传店铺: 2103-Temu全托管_总表.xlsx, 共 18 条记录...
2026-03-03 13:58:28,188 | INFO | financial_process_up | 2103-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:28,202 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:28,202 | INFO | financial_process_up | 正在上传店铺: 2106-Temu全托管_总表.xlsx, 共 42 条记录...
2026-03-03 13:58:29,404 | INFO | financial_process_up | 2106-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
