2026-04-29 10:37:46,946 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100531299904
2026-04-29 10:37:48,532 | INFO | auto_listing | ✅ 上架成功: 601100531299904
2026-04-29 10:37:48,560 | INFO | auto_listing | 采集箱新页面已关闭 - 601100531299904
2026-04-29 10:37:48,582 | INFO | auto_listing | 外层采集页面已关闭 - 601100531299904
2026-04-29 10:37:48,619 | INFO | auto_listing | 进度: 27/50 - 正在处理商品: 601100597360317
2026-04-29 10:37:48,619 | INFO | auto_listing | 商品 601100597360317 第 1/2 次采集尝试
2026-04-29 10:37:51,403 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100597360317
2026-04-29 10:37:51,440 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100597360317
2026-04-29 10:37:53,186 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100597360317
2026-04-29 10:37:54,804 | INFO | auto_listing | ✅ 上架成功: 601100597360317
2026-04-29 10:37:54,832 | INFO | auto_listing | 采集箱新页面已关闭 - 601100597360317
2026-04-29 10:37:54,859 | INFO | auto_listing | 外层采集页面已关闭 - 601100597360317
2026-04-29 10:37:54,895 | INFO | auto_listing | 进度: 28/50 - 正在处理商品: 601100608202156
2026-04-29 10:37:54,896 | INFO | auto_listing | 商品 601100608202156 第 1/2 次采集尝试
2026-04-29 10:37:57,608 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100608202156
2026-04-29 10:37:57,646 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100608202156
2026-04-29 10:37:59,405 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100608202156
2026-04-29 10:38:01,022 | INFO | auto_listing | ✅ 上架成功: 601100608202156
2026-04-29 10:38:01,048 | INFO | auto_listing | 采集箱新页面已关闭 - 601100608202156
2026-04-29 10:38:01,071 | INFO | auto_listing | 外层采集页面已关闭 - 601100608202156
2026-04-29 10:38:01,104 | INFO | auto_listing | 进度: 29/50 - 正在处理商品: 601100611781226
2026-04-29 10:38:01,105 | INFO | auto_listing | 商品 601100611781226 第 1/2 次采集尝试
2026-04-29 10:38:03,808 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100611781226
2026-04-29 10:38:03,849 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100611781226
2026-04-29 10:38:05,644 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100611781226
2026-04-29 10:38:07,242 | INFO | auto_listing | ✅ 上架成功: 601100611781226
2026-04-29 10:38:07,271 | INFO | auto_listing | 采集箱新页面已关闭 - 601100611781226
2026-04-29 10:38:07,296 | INFO | auto_listing | 外层采集页面已关闭 - 601100611781226
2026-04-29 10:38:07,336 | INFO | auto_listing | 进度: 30/50 - 正在处理商品: 601100622541086
2026-04-29 10:38:07,336 | INFO | auto_listing | 商品 601100622541086 第 1/2 次采集尝试
2026-04-29 10:38:08,994 | WARNING | auto_listing | 商品 601100367932913 采集失败 (尝试 2/2): Locator.click: Timeout 30000ms exceeded.
Call log:
