2026-01-21 12:12:40,620 | ERROR | temu_site | 处理店铺 102-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-21 12:12:40,622 | INFO | temu_site | 正在爬取店铺---101-Temu全托管---skc_sku_violate数据
2026-01-21 12:12:41,800 | INFO | temu_site | 店铺---101-Temu全托管---没有违规数据
2026-01-21 12:12:41,801 | INFO | temu_site | 店铺---101-Temu全托管---没有违规数据，跳过
2026-01-21 12:12:41,907 | INFO | temu_site | 准备上传 270 条记录...
2026-01-21 12:12:50,988 | INFO | temu_site | 
上传统计:
2026-01-21 12:12:50,988 | INFO | temu_site | 总批次: 6
2026-01-21 12:12:50,988 | INFO | temu_site | 成功批次: 6
2026-01-21 12:12:50,988 | INFO | temu_site | 失败批次: 0
2026-01-21 12:12:51,200 | INFO | temu_site | 准备上传 921 条记录...
2026-01-21 12:13:25,055 | INFO | temu_site | 
上传统计:
2026-01-21 12:13:25,055 | INFO | temu_site | 总批次: 19
2026-01-21 12:13:25,055 | INFO | temu_site | 成功批次: 19
2026-01-21 12:13:25,055 | INFO | temu_site | 失败批次: 0
2026-01-21 12:13:25,055 | INFO | temu_site | 🎯 全流程完成，总耗时：14分2秒
