2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 失败批次: 0
2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 2102-Temu全托管 入库情况数据爬取完成，共0条记录
2026-04-17 14:07:22,848 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2101-Temu全托管KA--仓库待收货的数据---------------------
2026-04-17 14:07:23,001 | INFO | temu_parcel_tracer | 正在获取第1页数据...
2026-04-17 14:07:23,001 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 第 1 次登录尝试
2026-04-17 14:07:26,478 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'akgomnfmbbjjcajjhhilppefdmokndpj', 'browserID': 104355104, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '58487', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2101号店（111店改）', 'duplicate': 3086, 'ip': '124.236.76.149', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104355104, 'containerCode': '1051551049', 'statusCode': '0', 'err': '成功(Success)'}}
2026-04-17 14:07:26,478 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 浏览器启动成功, 调试端口: 58487
2026-04-17 14:07:27,941 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 已连接浏览器
2026-04-17 14:07:29,167 | INFO | temu_parcel_tracer | --------------------2101-Temu全托管KA ------------------------ 开始登录...
2026-04-17 14:07:35,495 | ERROR | temu_parcel_tracer | 2101-Temu全托管KA - 未出现取消按钮，跳过
2026-04-17 14:07:36,511 | ERROR | temu_parcel_tracer | 2101-Temu全托管KA - 未出现进入按钮，跳过
2026-04-17 14:07:36,512 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 登录成功
2026-04-17 14:07:36,512 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 等待 agentseller Cookie 生效
2026-04-17 14:07:47,775 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2101-Temu全托管KA_kuajingmaihuo_cookies.json
2026-04-17 14:07:47,775 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - Cookie 获取完成，准备关闭浏览器
2026-04-17 14:07:47,775 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 登录成功（第 1 次）
2026-04-17 14:07:47,793 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 已关闭Playwright连接
2026-04-17 14:07:49,020 | INFO | temu_parcel_tracer | 2101-Temu全托管KA - 已发送停止浏览器请求
2026-04-17 14:08:06,872 | INFO | temu_parcel_tracer | 第 1 页获取到 23 条数据
2026-04-17 14:08:06,873 | INFO | temu_parcel_tracer | 已获取最后一页，停止获取
2026-04-17 14:08:06,873 | INFO | temu_parcel_tracer | ----------------开始上传(temu-发货揽收轨迹及丢件)的数据---------------------
2026-04-17 14:08:06,876 | INFO | temu_parcel_tracer | 准备上传 10 条记录...
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | 
上传统计:
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | 总记录数: 10
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | 成功数量: 10
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | 失败数量: 0
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | 成功批次: 1
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | 失败批次: 0
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | 2101-Temu全托管KA 发货揽收轨迹数据爬取完成，共10条记录
2026-04-17 14:08:08,922 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2101-Temu全托管KA--入库的数据---------------------
2026-04-17 14:08:09,053 | INFO | temu_parcel_tracer | 正在获取第 1 页数据...
2026-04-17 14:08:12,044 | ERROR | temu_parcel_tracer | [2101-Temu全托管KA] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/mms/venom/api/supplier/purchase/manager/querySubOrderList
